Century,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
16,0.6531440162271805,493,4.359026369168357,0.07302231237322515,0.09330628803245436,0.06896551724137931,0.07099391480730223,0.08924949290060852,0.26369168356997974,0.006085192697768763,0.028397565922920892,0.10344827586206896,0.20081135902636918,
16,0.75177304964539,141,4.546099290780142,0.1347517730496454,0.09929078014184398,0.02127659574468085,0.06382978723404255,0.12056737588652482,0.2978723404255319,0.0,0.03546099290780142,0.06382978723404255,0.16312056737588654,
16,0.8648648648648649,74,4.3108108108108105,0.0945945945945946,0.10810810810810811,0.08108108108108109,0.013513513513513514,0.06756756756756757,0.25675675675675674,0.013513513513513514,0.02702702702702703,0.13513513513513514,0.20270270270270271,
16,0.6776859504132231,242,4.214876033057851,0.12396694214876033,0.06198347107438017,0.0743801652892562,0.08264462809917356,0.10330578512396695,0.22727272727272727,0.008264462809917356,0.028925619834710745,0.10743801652892562,0.18181818181818182,
16,0.6633663366336634,303,4.382838283828383,0.07920792079207921,0.07920792079207921,0.09570957095709572,0.033003300330033,0.11221122112211221,0.25742574257425743,0.0033003300330033004,0.0297029702970297,0.10231023102310231,0.2079207920792079,
16,0.8365384615384616,104,4.538461538461538,0.125,0.10576923076923077,0.057692307692307696,0.009615384615384616,0.1346153846153846,0.33653846153846156,0.0,0.028846153846153848,0.038461538461538464,0.16346153846153846,
16,0.6,525,4.253333333333333,0.12,0.10095238095238095,0.06666666666666667,0.049523809523809526,0.10666666666666667,0.24571428571428572,0.0,0.022857142857142857,0.09333333333333334,0.19428571428571428,
16,0.8681318681318682,91,4.274725274725275,0.10989010989010989,0.06593406593406594,0.08791208791208792,0.03296703296703297,0.08791208791208792,0.27472527472527475,0.0,0.0,0.10989010989010989,0.23076923076923078,
16,0.7044334975369458,203,3.8916256157635467,0.08374384236453201,0.11330049261083744,0.054187192118226604,0.059113300492610835,0.12807881773399016,0.27586206896551724,0.0,0.04926108374384237,0.07881773399014778,0.15763546798029557,
16,0.7457627118644068,118,4.186440677966102,0.11016949152542373,0.07627118644067797,0.1271186440677966,0.059322033898305086,0.1271186440677966,0.19491525423728814,0.00847457627118644,0.01694915254237288,0.059322033898305086,0.22033898305084745,
16,0.734006734006734,297,4.437710437710438,0.09427609427609428,0.1111111111111111,0.04377104377104377,0.07407407407407407,0.07744107744107744,0.2760942760942761,0.003367003367003367,0.020202020202020204,0.06397306397306397,0.2356902356902357,
16,0.6021505376344086,465,4.352688172043011,0.09462365591397849,0.08602150537634409,0.07311827956989247,0.060215053763440864,0.13333333333333333,0.2537634408602151,0.0064516129032258064,0.021505376344086023,0.09032258064516129,0.18064516129032257,
16,0.5815789473684211,380,4.244736842105263,0.14473684210526316,0.10526315789473684,0.042105263157894736,0.03684210526315789,0.07631578947368421,0.3131578947368421,0.005263157894736842,0.02368421052631579,0.034210526315789476,0.21842105263157896,
16,0.550185873605948,538,4.54089219330855,0.09665427509293681,0.1171003717472119,0.02973977695167286,0.03531598513011153,0.07992565055762081,0.29739776951672864,0.0018587360594795538,0.020446096654275093,0.14869888475836432,0.17100371747211895,
16,0.6655052264808362,287,4.501742160278746,0.08710801393728224,0.08710801393728224,0.04878048780487805,0.041811846689895474,0.08710801393728224,0.26480836236933797,0.0,0.017421602787456445,0.13937282229965156,0.2264808362369338,
